SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2,1,2,,,,,,,,,,,,,,,IN9175A01010
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2,1,2,,,,,,,,,,,,,,,IN9623B01058
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,1,,,,,,,,,,,,,,,INE001B01026
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,10,,,,,,,,,,,,,,,INE002A01018
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,10,,,,,,,,,,,,,,,INE002L01015
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,10,,,,,,,,,,,,,,,INE002S01010
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,2,,,,,,,,,,,,,,,INE003A01024
PROTEAN,Protean eGov Technologies Limited,EQ,06-FEB-2025,10,1,10,,,,,,,,,,,,,,,INE004A01022
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,2,,,,,,,,,,,,,,,INE005B01027
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,10,,,,,,,,,,,,,,,INE005I01014
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,1,,,,,,,,,,,,,,,INE006I01046
ARVEE,Arvee Laboratories (India) Limited,BE,22-MAR-2021,10,1,10,,,,,,,,,,,,,,,INE006Z01016
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,1,,,,,,,,,,,,,,,INE007A01025
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,1,,,,,,,,,,,,,,,INE007B01023
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,10,,,,,,,,,,,,,,,INE007N01010
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,10,,,,,,,,,,,,,,,INE008A01015
SRPL,Shree Ram Proteins Limited,BZ,23-SEP-2020,1,1,1,,,,,,,,,,,,,,,INE008Z01020
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,5,,,,,,,,,,,,,,,INE009A01021
TREJHARA,TREJHARA SOLUTIONS LIMITED,BE,28-DEC-2018,10,1,10,,,,,,,,,,,,,,,INE00CA01015
SVLL,Shree Vasu Logistics Limited,EQ,21-APR-2023,10,1,10,,,,,,,,,,,,,,,INE00CE01017
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,1,,,,,,,,,,,,,,,INE00E101023
MEGASTAR,Megastar Foods Limited,BE,16-FEB-2022,10,1,10,,,,,,,,,,,,,,,INE00EM01016
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,10,,,,,,,,,,,,,,,INE00EV01017
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5,1,5,,,,,,,,,,,,,,,INE00F201020
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,5,,,,,,,,,,,,,,,INE00FF01025
SWIGGY,Swiggy Limited,EQ,13-NOV-2024,1,1,1,,,,,,,,,,,,,,,INE00H001014
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,EQ,28-FEB-2023,2,1,2,,,,,,,,,,,,,,,INE00IK01029
STOVEKRAFT,Stove Kraft Limited,EQ,05-FEB-2021,10,1,10,,,,,,,,,,,,,,,INE00IN01015
RAJMET,Rajnandini Metal Limited,EQ,16-FEB-2021,1,1,1,,,,,,,,,,,,,,,INE00KV01022
SONAMLTD,SONAM LIMITED,EQ,07-APR-2022,5,1,5,,,,,,,,,,,,,,,INE00LM01029
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,5,,,,,,,,,,,,,,,INE00LO01017
SWSOLAR,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,1,,,,,,,,,,,,,,,INE00M201021
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024,10,1,10,,,,,,,,,,,,,,,INE00M901018
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,10,,,,,,,,,,,,,,,INE00OQ01016
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,10,,,,,,,,,,,,,,,INE00PV01013
STUDDS,Studds Accessories Limited,EQ,07-NOV-2025,5,1,5,,,,,,,,,,,,,,,INE00Q601028
SGIL,Synergy Green Industries Limited,EQ,28-JUL-2021,10,1,10,,,,,,,,,,,,,,,INE00QT01015
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,2,,,,,,,,,,,,,,,INE00R701025
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025,5,1,5,,,,,,,,,,,,,,,INE00RL01028
NILASPACES,Nila Spaces Limited,EQ,28-DEC-2018,1,1,1,,,,,,,,,,,,,,,INE00S901012
UNIECOM,Unicommerce Esolutions Limited,EQ,13-AUG-2024,1,1,1,,,,,,,,,,,,,,,INE00U401027
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022,2,1,2,,,,,,,,,,,,,,,INE00VM01036
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,2,,,,,,,,,,,,,,,INE00WC01027
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,5,,,,,,,,,,,,,,,INE00Y201027
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,10,,,,,,,,,,,,,,,INE00Y801016
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1,1,1,,,,,,,,,,,,,,,INE00YB01025
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025,10,1,10,,,,,,,,,,,,,,,INE00YJ01010
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,2,1,2,,,,,,,,,,,,,,,INE00Z501029
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,2,,,,,,,,,,,,,,,INE00ZE01026
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10,1,10,,,,,,,,,,,,,,,INE010601016
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003,10,1,10,,,,,,,,,,,,,,,INE010A01011
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,1,,,,,,,,,,,,,,,INE010B01027
TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10,1,10,,,,,,,,,,,,,,,INE010J01012
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,2,,,,,,,,,,,,,,,INE010V01017
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10,1,10,,,,,,,,,,,,,,,INE011E01029
RAJVIR,Rajvir Industries Limited,BZ,20-SEP-2005,10,1,10,,,,,,,,,,,,,,,INE011H01014
TEGA,Tega Industries Limited,EQ,13-DEC-2021,10,1,10,,,,,,,,,,,,,,,INE011K01018
ACC,ACC Limited,EQ,20-NOV-1996,10,1,10,,,,,,,,,,,,,,,INE012A01025
RNBDENIMS,R&B Denims Limited,EQ,04-SEP-2025,2,1,2,,,,,,,,,,,,,,,INE012Q01021
KSHITIJPOL,Kshitij Polyline Limited,EQ,27-JUL-2022,2,1,2,,,,,,,,,,,,,,,INE013801027
ONESOURCE,Onesource Specialty Pharma Limited,EQ,24-JAN-2025,1,1,1,,,,,,,,,,,,,,,INE013P01021
TECILCHEM,TECIL Chemicals and Hydro Power Limited,EQ,06-DEC-1995,10,50,10,,,,,,,,,,,,,,,INE014B01011
TINNARUBR,Tinna Rubber and Infrastructure Limited,EQ,17-APR-2025,10,1,10,,,,,,,,,,,,,,,INE015C01016
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008,2,1,2,,,,,,,,,,,,,,,INE015D01022
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,1,,,,,,,,,,,,,,,INE016A01026
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,1,,,,,,,,,,,,,,,INE016M01021
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,10,,,,,,,,,,,,,,,INE017A01032
SMLT,Sarthak Metals Limited,EQ,25-NOV-2021,10,1,10,,,,,,,,,,,,,,,INE017W01010
SUVIDHAA,Suvidhaa Infoserve Limited,EQ,31-MAR-2021,1,1,1,,,,,,,,,,,,,,,INE018401013
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,2,,,,,,,,,,,,,,,INE018A01030
SBICARD,SBI Cards and Payment Services Limited,EQ,16-MAR-2020,10,1,10,,,,,,,,,,,,,,,INE018E01016
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,1,,,,,,,,,,,,,,,INE019A01038
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1,1,1,,,,,,,,,,,,,,,INE019C01026
SASTASUNDR,Sastasundar Ventures Limited,EQ,05-OCT-2010,10,1,10,,,,,,,,,,,,,,,INE019J01013
STANLEY,Stanley Lifestyles Limited,EQ,28-JUN-2024,2,1,2,,,,,,,,,,,,,,,INE01A001028
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,5,,,,,,,,,,,,,,,INE01BK01022
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,5,,,,,,,,,,,,,,,INE01C001026
VMM,Vishal Mega Mart Limited,EQ,18-DEC-2024,10,1,10,,,,,,,,,,,,,,,INE01EA01019
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,10,,,,,,,,,,,,,,,INE01EE01011
RITCO,Ritco Logistics Limited,EQ,12-APR-2022,10,1,10,,,,,,,,,,,,,,,INE01EG01016
SPECTRUM,Spectrum Electrical Industries Limited,EQ,28-MAR-2025,10,1,10,,,,,,,,,,,,,,,INE01EO01010
STYLEBAAZA,Baazar Style Retail Limited,EQ,06-SEP-2024,5,1,5,,,,,,,,,,,,,,,INE01FR01028
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021,2,1,2,,,,,,,,,,,,,,,INE01GN01025
SILGO,Silgo Retail Limited,EQ,03-MAR-2021,10,1,10,,,,,,,,,,,,,,,INE01II01013
SILGO-RE1,Silgo Retail Ltd-RE,BE,14-JAN-2026,10,1,10,,,,,,,,,,,,,,,INE01II20021
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,EQ,06-JAN-2023,10,1,10,,,,,,,,,,,,,,,INE01IU01018
MARINE,Marine Electricals (India) Limited,EQ,02-DEC-2020,2,1,2,,,,,,,,,,,,,,,INE01JE01028
VINNY,Vinny Overseas Limited,EQ,28-NOV-2022,1,1,1,,,,,,,,,,,,,,,INE01KI01027
SRD,Shankar Lal Rampal Dye-Chem Limited,EQ,09-OCT-2024,10,1,10,,,,,,,,,,,,,,,INE01NE01012
XELPMOC,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,10,,,,,,,,,,,,,,,INE01P501012
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5,1,5,,,,,,,,,,,,,,,INE01QM01018
VIKRAN,Vikran Engineering Limited,EQ,03-SEP-2025,1,1,1,,,,,,,,,,,,,,,INE01R501028
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-OCT-2025,10,1,10,,,,,,,,,,,,,,,INE01TY01017
SPENCERS,Spencer's Retail Limited,EQ,25-JAN-2019,5,1,5,,,,,,,,,,,,,,,INE020801028
RECLTD,REC Limited,EQ,12-MAR-2008,10,1,10,,,,,,,,,,,,,,,INE020B01018
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,2,,,,,,,,,,,,,,,INE020D01022
INSPIRISYS,Inspirisys Solutions Limited,EQ,30-OCT-2006,10,1,10,,,,,,,,,,,,,,,INE020G01017
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,2,,,,,,,,,,,,,,,INE020J01029
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,1,,,,,,,,,,,,,,,INE021A01026
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,10,,,,,,,,,,,,,,,INE021O01019
EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-JAN-1996,10,1,10,,,,,,,,,,,,,,,INE022C01012
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,10,,,,,,,,,,,,,,,INE022I01019
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,1,,,,,,,,,,,,,,,INE022Q01020
NSIL,Nalwa Sons Investments Limited,EQ,17-NOV-2003,10,1,10,,,,,,,,,,,,,,,INE023A01030
NECLIFE,Nectar Lifesciences Limited,BE,18-JUL-2005,1,1,1,,,,,,,,,,,,,,,INE023H01027
SETUINFRA,Setubandhan Infrastructure Limited,BZ,04-OCT-2011,1,1,1,,,,,,,,,,,,,,,INE023M01027
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,2,,,,,,,,,,,,,,,INE024001021
PRUDMOULI,Prudential Sugar Corporation Limited,EQ,10-MAY-1995,10,100,10,,,,,,,,,,,,,,,INE024D01016
SHILCTECH,Shilchar Technologies Limited,EQ,24-NOV-2025,10,1,10,,,,,,,,,,,,,,,INE024F01011
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,2,,,,,,,,,,,,,,,INE024L01027
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,10,,,,,,,,,,,,,,,INE025A01027
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2,1,2,,,,,,,,,,,,,,,INE025B01025
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1,1,1,,,,,,,,,,,,,,,INE025R01021
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,2,,,,,,,,,,,,,,,INE026A01025
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-JAN-1998,10,1,10,,,,,,,,,,,,,,,INE027A01015
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,10,,,,,,,,,,,,,,,INE027H01010
RUDRA,Rudra Global Infra Products Limited,EQ,19-DEC-2025,5,1,5,,,,,,,,,,,,,,,INE027T01023
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,2,,,,,,,,,,,,,,,INE028A01039
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,10,,,,,,,,,,,,,,,INE029A01011
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011,10,1,10,,,,,,,,,,,,,,,INE029L01018
ROSSARI,Rossari Biotech Limited,EQ,23-JUL-2020,2,1,2,,,,,,,,,,,,,,,INE02A801020
ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,10,,,,,,,,,,,,,,,INE02AR01019
AXITA,Axita Cotton Limited,BE,21-JUN-2022,1,1,1,,,,,,,,,,,,,,,INE02EZ01022
NOVAAGRI,Nova Agritech Limited,EQ,31-JAN-2024,2,1,2,,,,,,,,,,,,,,,INE02H701025
RAYMONDLSL,Raymond Lifestyle Limited,EQ,05-SEP-2024,2,1,2,,,,,,,,,,,,,,,INE02ID01020
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,2,,,,,,,,,,,,,,,INE02IJ01035
BOROSCI,Borosil Scientific Limited,EQ,07-JUN-2024,1,1,1,,,,,,,,,,,,,,,INE02L001032
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,10,,,,,,,,,,,,,,,INE02NC01014
BOROLTD,Borosil Limited,EQ,22-JUL-2020,1,1,1,,,,,,,,,,,,,,,INE02PY01013
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,2,1,2,,,,,,,,,,,,,,,INE02RE01045
WEL,Wonder Electricals Limited,EQ,17-JAN-2022,1,1,1,,,,,,,,,,,,,,,INE02WG01024
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,10,,,,,,,,,,,,,,,INE02YR01019
CORONA,CORONA Remedies Limited,EQ,15-DEC-2025,10,1,10,,,,,,,,,,,,,,,INE02ZQ01018
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,1,,,,,,,,,,,,,,,INE030A01027
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,10,,,,,,,,,,,,,,,INE031A01017
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,2,,,,,,,,,,,,,,,INE031B01049
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,2,,,,,,,,,,,,,,,INE032A01023
PRIMESECU,Prime Securities Limited,EQ,17-JUN-2005,5,1,5,,,,,,,,,,,,,,,INE032B01021
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,1,1,1,,,,,,,,,,,,,,,INE032Z01020
QUINTEGRA,Quintegra Solutions Limited,BE,20-DEC-2000,10,1,10,,,,,,,,,,,,,,,INE033B01011
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,10,,,,,,,,,,,,,,,INE034A01011
PTL,PTL Enterprises Limited,EQ,29-JAN-2007,1,1,1,,,,,,,,,,,,,,,INE034D01049
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,10,,,,,,,,,,,,,,,INE034S01021
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,10,1,10,,,,,,,,,,,,,,,INE035801013
SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995,2,1,2,,,,,,,,,,,,,,,INE035D01020
RELINFRA,Reliance Infrastructure Limited,BE,08-FEB-1995,10,1,10,,,,,,,,,,,,,,,INE036A01016
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,1,,,,,,,,,,,,,,,INE036B01030
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,2,,,,,,,,,,,,,,,INE036D01028
UNIENTER,Uniphos Enterprises Limited,EQ,23-JAN-2004,2,1,2,,,,,,,,,,,,,,,INE037A01022
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024,5,1,5,,,,,,,,,,,,,,,INE037Z01029
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,1,,,,,,,,,,,,,,,INE038A01020
TVTODAY,TV Today Network Limited,EQ,16-JAN-2004,5,1,5,,,,,,,,,,,,,,,INE038F01029
IFCI,IFCI Limited,EQ,26-APR-1995,10,1,10,,,,,,,,,,,,,,,INE039A01010
CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2,1,2,,,,,,,,,,,,,,,INE039B01026
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,1,1,1,,,,,,,,,,,,,,,INE039C01032
JASH,Jash Engineering Limited,EQ,30-OCT-2019,2,1,2,,,,,,,,,,,,,,,INE039O01029
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025,10,1,10,,,,,,,,,,,,,,,INE03CC01015
RETAIL,JHS Svendgaard Retail Ventures Limited,EQ,26-JUN-2024,10,1,10,,,,,,,,,,,,,,,INE03DD01011
MAXESTATES,Max Estates Limited,EQ,30-OCT-2023,10,1,10,,,,,,,,,,,,,,,INE03EI01018
VLEGOV,VL E-Governance & IT Solutions Limited,EQ,14-AUG-2023,10,1,10,,,,,,,,,,,,,,,INE03HW01020
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,2,,,,,,,,,,,,,,,INE03JI01017
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10,1,10,,,,,,,,,,,,,,,INE03JT01014
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-JUL-2025,10,1,10,,,,,,,,,,,,,,,INE03NU01014
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,2,,,,,,,,,,,,,,,INE03Q201024
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020,1,1,1,,,,,,,,,,,,,,,INE03QK01018
DRCSYSTEMS,DRC Systems India Limited,EQ,10-MAR-2021,1,1,1,,,,,,,,,,,,,,,INE03RS01027
UNIVPHOTO,Universus Photo Imagings Limited,EQ,14-FEB-2020,10,1,10,,,,,,,,,,,,,,,INE03V001013
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,10,,,,,,,,,,,,,,,INE03YM01018
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,1,,,,,,,,,,,,,,,INE040A01034
MAYURUNIQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012,5,1,5,,,,,,,,,,,,,,,INE040D01038
SUZLON,Suzlon Energy Limited,EQ,19-OCT-2005,2,1,2,,,,,,,,,,,,,,,INE040H01021
TREEHOUSE,Tree House Education & Accessories Limited,EQ,26-AUG-2011,10,1,10,,,,,,,,,,,,,,,INE040M01013
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,10,,,,,,,,,,,,,,,INE041A01016
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,10,,,,,,,,,,,,,,,INE042A01014
GTL,GTL Limited,EQ,29-MAR-1995,10,1,10,,,,,,,,,,,,,,,INE043A01012
IVP,IVP Limited,EQ,13-SEP-1995,10,1,10,,,,,,,,,,,,,,,INE043C01018
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,1,,,,,,,,,,,,,,,INE043W01024
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,1,,,,,,,,,,,,,,,INE044A01036
PARAS,Paras Defence and Space Technologies Limited,EQ,01-OCT-2021,5,1,5,,,,,,,,,,,,,,,INE045601023
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,10,,,,,,,,,,,,,,,INE045A01017
NELCO,NELCO Limited,EQ,28-MAY-2003,10,1,10,,,,,,,,,,,,,,,INE045B01015
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,1,1,1,,,,,,,,,,,,,,,INE045J01034
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-NOV-1995,10,1,10,,,,,,,,,,,,,,,INE046A01015
MUTHOOTMF,Muthoot Microfin Limited,EQ,26-DEC-2023,10,1,10,,,,,,,,,,,,,,,INE046W01019
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,2,,,,,,,,,,,,,,,INE047A01021
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10,1,10,,,,,,,,,,,,,,,INE047B01011
NIBL,NRB Industrial Bearings Limited,EQ,09-APR-2013,2,1,2,,,,,,,,,,,,,,,INE047O01014
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,2,1,2,,,,,,,,,,,,,,,INE048B01035
VHLTD,Viceroy Hotels Limited,BE,03-APR-2024,10,1,10,,,,,,,,,,,,,,,INE048C01025
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,2,1,2,,,,,,,,,,,,,,,INE048G01026
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5,1,5,,,,,,,,,,,,,,,INE049A01027
WOCKPHARMA,Wockhardt Limited,EQ,23-FEB-2000,5,1,5,,,,,,,,,,,,,,,INE049B01025
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-MAR-2008,5,1,5,,,,,,,,,,,,,,,INE049I01012
SBC,SBC Exports Limited,EQ,23-NOV-2021,1,1,1,,,,,,,,,,,,,,,INE04AK01028
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,10,,,,,,,,,,,,,,,INE04I401011
PAR,Par Drugs And Chemicals Limited,EQ,16-SEP-2021,10,1,10,,,,,,,,,,,,,,,INE04LG01015
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10,1,10,,,,,,,,,,,,,,,INE04TZ01018
STYL,Seshaasai Technologies Limited,EQ,30-SEP-2025,10,1,10,,,,,,,,,,,,,,,INE04VU01023
PPL,Prakash Pipes Limited,EQ,14-JUN-2019,10,1,10,,,,,,,,,,,,,,,INE050001010
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,5,1,5,,,,,,,,,,,,,,,INE050401020
BBTC,The Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,2,,,,,,,,,,,,,,,INE050A01025
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,2,1,2,,,,,,,,,,,,,,,INE050B01023
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,2,,,,,,,,,,,,,,,INE050E01027
RML,Rane (Madras) Limited,EQ,30-AUG-2005,10,1,10,,,,,,,,,,,,,,,INE050H01012
VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,10,,,,,,,,,,,,,,,INE050M01012
VAKRANGEE,Vakrangee Limited,EQ,03-APR-2006,1,1,1,,,,,,,,,,,,,,,INE051B01021
WINDMACHIN,Windsor Machines Limited,EQ,17-AUG-2011,2,1,2,,,,,,,,,,,,,,,INE052A01021
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,1,,,,,,,,,,,,,,,INE052I01032
BESTAGRO,Best Agrolife Limited,BE,10-APR-2024,1,1,1,,,,,,,,,,,,,,,INE052T01021
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,1,,,,,,,,,,,,,,,INE053A01029
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,10,,,,,,,,,,,,,,,INE053F01010
ODIGMA,Odigma Consultancy Solutions Limited,EQ,12-DEC-2024,1,1,1,,,,,,,,,,,,,,,INE054301028
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,2,,,,,,,,,,,,,,,INE054A01027
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,10,,,,,,,,,,,,,,,INE055A01016
KEEPLEARN,DSJ Keep Learning Limited,EQ,01-MAR-1995,1,1,1,,,,,,,,,,,,,,,INE055C01020
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023,10,1,10,,,,,,,,,,,,,,,INE055S01018
IVALUE,Ivalue Infosolutions Limited,EQ,25-SEP-2025,2,1,2,,,,,,,,,,,,,,,INE056801025
REFEX,Refex Industries Limited,EQ,03-DEC-2009,2,1,2,,,,,,,,,,,,,,,INE056I01025
SANOFI,Sanofi India Limited,EQ,19-MAY-2003,10,1,10,,,,,,,,,,,,,,,INE058A01010
ZENITHEXPO,Zenith Exports Limited,EQ,10-JUL-1996,10,1,10,,,,,,,,,,,,,,,INE058B01018
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,2,,,,,,,,,,,,,,,INE059A01026
SIMPLEXINF,Simplex Infrastructures Limited,EQ,09-MAR-2004,2,1,2,,,,,,,,,,,,,,,INE059B01024
LAOPALA,La Opala RG Limited,EQ,16-MAR-2007,2,1,2,,,,,,,,,,,,,,,INE059D01020
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2,1,2,,,,,,,,,,,,,,,INE05AN01011
RATNAVEER,Ratnaveer Precision Engineering Limited,EQ,11-SEP-2023,10,1,10,,,,,,,,,,,,,,,INE05CZ01011
IGCL,Indogulf Cropsciences Limited,EQ,03-JUL-2025,10,1,10,,,,,,,,,,,,,,,INE05J901018
SBGLP,Suratwwala Business Group Limited,EQ,10-FEB-2023,1,1,1,,,,,,,,,,,,,,,INE05ST01028
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10,1,10,,,,,,,,,,,,,,,INE05X901010
BHARATCOAL,Bharat Coking Coal Limited,EQ,19-JAN-2026,10,1,10,,,,,,,,,,,,,,,INE05XR01022
